Number of doors,Tipo di corpo,CO2 emissions,Luggage compartment volume,Dimensioni e Peso,Front Terrain Angle,Motore e trasporzione,Equipamento,Turning circle diameter,Rubber size,Acceleration from 0 to 100 km/h,Production period,Wading depth,Drive,Ground clearance,Payload,Number of cylinders,Cylinder Arrangement,Cylinder capacity,Length,Rear Terrain Angle,Category,Exports,Department of Environmental Protection,Altitude,Maximum Torque,Maximum power,On-road consumption,Performace,Ramp angle,Own weight,Gearbox,Number of persons to be transported,Width,Wheelbase,Mixed consumption,Urban consumption,Top speed,Total weight,Modern price,Fuel,Fuel tank
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1973-1975,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"1,739 cm³",Non disponibile,Non disponibile,Non disponibile,Cabrio,Non disponibile,Non disponibile,Non disponibile,"82 kW, 112 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
2 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1990-1995,Non disponibile,Rear wheel,Non disponibile,Non disponibile,6 cylinders,Non disponibile,4 015 cm³,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"116 kW, 158 hp",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
2 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1986-1987,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"2,294 cm³",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"66 kW, 90 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
2 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1990-1995,Non disponibile,All-wheel,Non disponibile,Non disponibile,6 cylinders,Non disponibile,4 015 cm³,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"116 kW, 158 hp",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
2 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1986.,Non disponibile,Rear wheel,Non disponibile,Non disponibile,6 cylinders,Non disponibile,"2,802 cm³",Non disponibile,Non disponibile,Non disponibile,Single space,Non disponibile,Non disponibile,Non disponibile,"86 kW, 117 hp",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
3 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1982-1984,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Soros,"1,602 cm³",Non disponibile,Non disponibile,Mid-range,Cup,Non disponibile,Non disponibile,Non disponibile,"59 kW, 80 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (4-speed) transmission,5 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
2 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,155/82 SR13,Non disponibile,1977-1982,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Soros,"1,602 cm³",Non disponibile,Non disponibile,Mid-range,Hatchback,Non disponibile,Non disponibile,Non disponibile,"59 kW, 80 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (5-speed) transmission,5 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,165/80 SR13,Non disponibile,1982-1984,Non disponibile,Front wheel,Non disponibile,530 kg,4 cylinders,Soros,"1,602 cm³",Non disponibile,Non disponibile,Mid-range,Sedan,Non disponibile,Non disponibile,Non disponibile,"59 kW, 80 HP",Non disponibile,Non disponibile,Non disponibile,990 kg,Manual (5-speed) transmission,5 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1 520 kg,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,155/82 SR13,Non disponibile,1979-1982,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Soros,"1,602 cm³",Non disponibile,Non disponibile,Mid-range,Sedan,Non disponibile,Non disponibile,Non disponibile,"59 kW, 80 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (5-speed) transmission,5 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
3 doors,Non disponibile,174 g/km,342 l,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,155/80 R13 79 S,16.9 seconds,1995-1997,Non disponibile,Front wheel,Non disponibile,454 kg,4 cylinders,Soros,"1,341 cm³",4 103 mm,Non disponibile,Lower middle category,Hatchback,Non disponibile,1 394 mm,Non disponibile,"44 kW, 60 HP",6.3 l/100km,Non disponibile,Non disponibile,1 026 kg,Manual (5-speed) transmission,5 persons,1 620 mm,2 400 mm,"7,4 l/100km","9,2 l/100km",155 km/h,1 480 kg,Non disponibile,Gasoline,45 l
3 doors,Non disponibile,Non disponibile,342 l,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,155/80 R13,Non disponibile,1995-1997,Non disponibile,Front wheel,Non disponibile,454 kg,4 cylinders,Soros,"1,341 cm³",4 103 mm,Non disponibile,Lower middle category,Hatchback,Non disponibile,1 394 mm,Non disponibile,"62 kW, 84 HP",Non disponibile,Non disponibile,Non disponibile,1 026 kg,Manual (5-speed) transmission,5 persons,1 620 mm,2 400 mm,Non disponibile,Non disponibile,Non disponibile,1 480 kg,Non disponibile,Gasoline,45 l
3 doors,Non disponibile,Non disponibile,342 l,Non disponibile,Non disponibile,Non disponibile,"Head restraints front and rear [4 pcs], Polishing: metal/mica, Rear wiper system,, Catalytic converter,, Exterior mirrors: adjustable from inside, Radio tape recorder, Transmission: 5-speed mechanical",Non disponibile,155/80 R13,11.7 seconds,1995-1997,Non disponibile,Front wheel,Non disponibile,480 kg,4 cylinders,Soros,"1,495 cm³",4 103 mm,Non disponibile,Lower middle category,Hatchback,Non disponibile,1 394 mm,130 Nm,"66 kW, 90 HP",Non disponibile,Non disponibile,Non disponibile,960 kg,Manual (5-speed) transmission,5 persons,1 620 mm,2 400 mm,Non disponibile,Non disponibile,176 km/h,1 440 kg,1 875 000 Ft,Gasoline,45 l
3 doors,Non disponibile,Non disponibile,342 l,Non disponibile,Non disponibile,Non disponibile,"Power windows front, Head restraints front and rear [4 pcs], Polishing: metal/mica, Tachometer, Rear wiper washer, Ignition lock,, Catalytic converter,, Alloy wheels [4 pcs], Electrically adjustable exterior mirrors,, Driver's airbag on the passenger side,, 4 speakers, Transmission: 5-speed manual,, Power steering,, Lighting: fog lights front",Non disponibile,175/70 R13,11.7 seconds,1996-1997,Non disponibile,Front wheel,Non disponibile,480 kg,4 cylinders,Soros,"1,495 cm³",4 103 mm,Non disponibile,Lower middle category,Hatchback,Non disponibile,1 394 mm,130 Nm,"66 kW, 90 HP",Non disponibile,Non disponibile,Non disponibile,960 kg,Manual (5-speed) transmission,5 persons,1 620 mm,2 400 mm,Non disponibile,Non disponibile,176 km/h,1 440 kg,2 450 000 HUF,Gasoline,45 l
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,2010—,Non disponibile,All-wheel,Non disponibile,Non disponibile,6 cylinders,Non disponibile,"2,993 cm³",Non disponibile,Non disponibile,Non disponibile,Hatchback,Non disponibile,Non disponibile,Non disponibile,"175 kW, 238 hp",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Diesel,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,2008-2010,Non disponibile,All-wheel,Non disponibile,Non disponibile,6 cylinders,Non disponibile,"3,498 cm³",Non disponibile,Non disponibile,Non disponibile,All-terrain vehicle,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
5 doors,Non disponibile,270 g/km,340 l,Non disponibile,Non disponibile,Non disponibile,"Audio system with 7 speakers, Interior rearview mirror, auto-darkening, CD changer, Luggage net, Power windows front and rear, Power transmission: all-wheel drive [4WD],, ASR [traction control],, Headrests front and rear [5 pcs],, Braking system: interlock anti-lock braking system [ABS],, Light and rain sensor,, Headlight distance adjustment from inside, Speedometer, Curtain airbag [windowbag] front-rear, Child seat preparation [ISOFIX], Start-up lock, Information system: colour driver information system, Smart key, Upholstery: fabric, leather Trained Pinion lever, Steering wheel: height-adjustable, Alloy wheels: 18', Remote central locking, Electric folding door mirrors, Heated knife adjustable, Exterior mirrors and door handles in body colour, Air conditioning [ACC] automatic,, Airbag on driver and passenger side, Side airbags front,, Spare wheel: tire repair kit instead of spare wheel, Radio with steering wheel control,, Radio telephone system: wireless [Bluetooth],, Cruise control [cruise control], Gear shift switch on the steering wheel, Transmission: 7-speed automatic,, Power steering: speed-dependent,, Tinted windows, Tinted windows: tinted windows in the passenger compartment, Ultrasonic parking control system front and rear,, Lighting: Bi-Xenon headlights with headlight washer,, Lighting: fog lights front, Seats rear: 1/3-2/3 split, electrically adjustable, Seats: lumbar support adjustment in the driver's seat, Electrically adjustable passenger seat, Electrically adjustable driver's seat",11m,225/55 R18,6.4 seconds,2010-2011,Non disponibile,All-wheel,148 mm,474 kg,6 cylinders,VOLTS,"3,696 cm³",4 635 mm,Non disponibile,Off-road vehicle,City SUV (crossover),EURO 5,"1,575 mm",360 Nm,"235 kW, 320 HP","8,6 l/100km",Non disponibile,15.5º,1 876 kg,Automatic (7-speed tiptronic) transmission,5 persons,1 800 mm,2 800 mm,11.3 l/100km,16.0 l/100km,240 km/h,2 350 kg,16 125 000 HUF,Gasoline,80 l
5 doors,Non disponibile,270 g/km,340 l,Non disponibile,17.0º,Non disponibile,"Audio system with 7 speakers, Audio system: Bose Premium Sound System with 11 speakers, Interior rearview mirror, Auto darkening, CD changer, Connectivity, Luggage net, Power windows front and rear, Power transmission: All-wheel drive [4WD],, ASR [anti-traction],, Headrests Front-rear [5 pcs],, Brake system: anti-lock braking system [ABS],, Light and rain sensor,, Headlight distance adjustment from inside, Tachometer, Curtain airbag [windowbag] front-rear, Child seat preparation [ISOFIX], Start-up lock, Information system: colour executive information System, Smart key, Upholstery: leather, Leather gear lever, Steering wheel: height and distance adjustment, electric, with memory, Central locking with remote control, Exterior rear-view mirrors electrically folded, Heated knife adjustable, Exterior rear-view mirrors and door handles in body color, Exterior rear-view mirrors with memory, Air conditioning [ACC] automatic,, Airbag on driver and passenger side, Side airbags front,, Radio with steering wheel control,, Radio telephone system: wireless [Bluetooth],, Clothes rack, Cruise control, Gear shift on steering wheel, Transmission: 7-speed automatic,, Power steering: speed-dependent,, Tinted windows, Tinted windows: tinted glass in the passenger compartment, Ultrasonic parking control system front-rear, Seat heating: heated seats front,, Lighting: Bi-Xenon headlights with headlight washer,, Lighting: fog lights front, Alloy wheels: 18', 19', Spare wheel: regular size, tyre repair kit instead of spare wheel, Rear seats: 1/3-2/3 split, electrically adjustable, Seats: lumbar support adjustment option in the driver's seat, electrically adjustable front seats, programmable driver's seat",11m,245/45 R19,6.4 seconds,2010-2013,Non disponibile,All-wheel,148 mm,474 kg,6 cylinders,VOLTS,"3,696 cm³",4 635 mm,20.0º,Off-road vehicle,City SUV (crossover),EURO 5,"1,575 mm",360 Nm,"235 kW, 320 HP","8,6 l/100km",Non disponibile,15.5º,1.876 kg,Automatic (7-speed tiptronic) transmission,5 persons,1 800 mm,2 800 mm,11.3 l/100km,16.0 l/100km,240 km/h,2 350 kg,15 378 900 Ft,Gasoline,80 l
5 doors,Non disponibile,174 g/km,484 l,Non disponibile,Non disponibile,Non disponibile,"ESP,, Audio system with 6 speakers, Interior rearview mirror, Auto darkening, Dual sport exhaust system, Vigilance monitoring system - ATTENTION ASSIST, Power windows front to rear, equipped with comfort switch, Electric child lock, Power transmission: all-wheel drive [4WD], Headrests front and rear [5 pcs], Tachometer, Chassis design: sport suspension, Warranty: 3 years/100000 km, Rear wiper with heated rear windshield, Isofix locking, ISOFIX points rear, Stability control: DSC, Upholstery: leather seats, Armrest front with drawer/cargo compartment,, Tyre pressure monitoring system, Traffic sign recognition system, Remote central locking system, Chrome air intakes, External temperature sensor, Electrically adjustable exterior mirrors, Heated, Auto darkening and folding, Lane assist lane keeping system, Air conditioning [ACC] 2-zone automatic, rear air intakes,, Airbag on driver and passenger side, Side airbags front, Curtain airbag,,, Microfilter [dust and pollen filter],, Reading lights front and rear, Cup holder front, Spare wheel: instead of spare wheel tire repair kit, Handsfree Bluetooth,, Alarm system,, Stainless steel Jaguar sills, Cruise control and speed limiter, Smart turn: one-touch direction indicator, Start/Stop button: to start and stop the engine,, Power steering: electric, speed control,, Reverse camera, Seats rear: fold-down and split, Lighting: fog lamp [fog lamp] rear, Anti-roll bar [Hill-Holder], Braking system: electric parking brake, Emergency brake assist [EBA], Information system: navigation system, colour driver information system, Steering wheel: 3-spoke leather, multifunction, height and distance adjustment",11m,255/60 R18,7.0 s,2017—,Non disponibile,All-wheel,204 mm,568 kg,4 cylinders,Soros,"1,998 cm³",4 395 mm,Non disponibile,Off-road vehicle,City SUV (crossover),EURO 6,1 649 mm,365 Nm,"183 kW, 249 hp",6.6 l/100km,Non disponibile,Non disponibile,1.832 kg,Automatic (9-speed tiptronic) transmission,5 persons,"1,988 mm",2 681 mm,"7,7 l/100km","9,5 l/100km",230 km/h,2 400 kg,15 100 000 HUF,Gasoline,68 l
5 doors,Non disponibile,174 g/km,484 l,Non disponibile,Non disponibile,Non disponibile,"ESP,, Interior rearview mirror, Automatic darkening, Dual sport exhaust system, Vigilance monitoring system - ATTENTION ASSIST, Power windows front to rear, equipped with comfort switch, Electric child lock, Power transmission: All-wheel drive [4WD], Head restraints front-rear [5 pcs], Speedometer, Traction design: sport suspension, Warranty: 3 years/100000 km, Rear wiper with heated rear windshield, Anti-lock braking system, Information system: Navigation system, ISOFIX installation points rear, Stability control: DSC, Upholstery: Premium leather, Armrest with front drawer/load compartment,, Tire pressure monitoring system,, Keyless-Entry system [keyless], Traffic sign recognition system, Central locking with remote control, Chrome-plated air intakes, External temperature gauge, Exterior rear-view mirrors electrically adjustable, Heatable with memory, automatic darkening and folding, Lane assist lane keeping system, Air conditioning [ACC] 2-zone automatic, rear air intakes,, Airbag on driver and passenger side, Side airbags front, Curtain airbag,, Meridian audio system: radio CD/MP3, 11 speaker, subwoofer, AUX-in connector, 380 Watt,, Microfilter [dust and pollen filter],, Reading lights front and rear, Cup holder front, Spare wheel: tire repair kit instead of spare wheel, Handsfree radio [Bluetooth],, Alarm system,, Stainless steel Jaguar Taillight strip, Smart turn: one-touch direction indicator, Start/Stop button: to start and stop the engine,, Power steering: electric, speed-dependent,, Reverse camera, Rear seats: fold down and split, Lighting: fog lamp rear, Anti-roll bar [Hill-Holder], Braking system: electric handbrake, emergency brake assist [EBA], Steering wheel: 3-spoke leather, multifunction, height and distance adjustment",11m,255/50 R20,7.0 s,2017—,Non disponibile,All-wheel,204 mm,568 kg,4 cylinders,Soros,"1,998 cm³",4 395 mm,Non disponibile,Off-road vehicle,City SUV (crossover),EURO 6,1 649 mm,365 Nm,"183 kW, 249 hp",6.6 l/100km,Non disponibile,Non disponibile,1.832 kg,Automatic (9-speed tiptronic) transmission,5 persons,"1,988 mm",2 681 mm,"7,7 l/100km","9,5 l/100km",230 km/h,2 400 kg,17 693 000 Ft,Gasoline,68 l
5 doors,Non disponibile,174 g/km,484 l,Non disponibile,Non disponibile,Non disponibile,"ESP,, Audio system with 6 speakers, Interior rearview mirror, Auto darkening, Dual sport exhaust system, Vigilance monitoring system - ATTENTION ASSIST, Power windows front to rear, equipped with comfort switch, Electric child lock, Power transmission: all-wheel drive [4WD], Headrests front and rear [5 pcs], Black trim panel, Tachometer, Chassis design: sports suspension, Warranty: 3 years/100000 km, Rear wiper with heated rear windshield, Isofix lock, ISOFIX installation points rear, Stability control: DSC, Upholstery: leather, with sport seat, Armrest with front drawer/cargo compartment,, Tyre pressure monitoring system,, Alloy wheel 5 spoke 18', Traffic sign recognition system, Remote central locking, Chrome-plated air intakes, External temperature gauge, Electrically adjustable exterior mirrors adjustable, heated, automatically dimming and folding, Lane assist lane keeping system, Air conditioning [ACC] 2-zone automatic, rear intakes,, driver/passenger airbag, side airbags front, curtain airbag,,, Microfilter [dust and pollen filter],, Reading lights front and rear, Pedals: stainless steel pedals, Cup holder front, Spare wheel: tire repair kit instead of a spare wheel, Handsfree radio [Bluetooth],, Alarm system,, Stainless steel Jaguar sill trim, Cruise control [cruise control] and speed control [speed limiter], Smart turn: one-touch direction indicator, Start/Stop button: to start and stop the engine,, Power steering: electric, speed-dependent,, Reverse camera, Rear seats: folding and dividing, Anti-roll [Hill-Holder], Braking system: electric handbrake, emergency brake assist [EBA], Information system: navigation system, colour driver information system, Steering wheel: 3-spoke sport, leather, multifunction tiptronic, height and distance adjustment, Lighting: fog lamps front, fog lamp [fog lamp] rear",11m,255/60 R18,7.0 s,2017—,Non disponibile,All-wheel,204 mm,568 kg,4 cylinders,Soros,"1,998 cm³",4 395 mm,Non disponibile,Off-road vehicle,City SUV (crossover),EURO 6,1 649 mm,365 Nm,"183 kW, 249 hp",6.6 l/100km,Non disponibile,Non disponibile,1.832 kg,Automatic (9-speed tiptronic) transmission,5 persons,"1,988 mm",2 681 mm,"7,7 l/100km","9,5 l/100km",230 km/h,2 400 kg,16 111 000 HUF,Gasoline,68 l
5 doors,Non disponibile,174 g/km,484 l,Non disponibile,Non disponibile,Non disponibile,"ESP,, Interior rearview mirror, Auto darkening, Dual sport exhaust system, Vigilance monitoring system - ATTENTION ASSIST, Power windows front to rear, equipped with comfort switch, Electric child lock, Power transmission: All-wheel drive [4WD], Head restraints front-rear [5 pcs], Black roof trim, Rotation Odometer, Chassis design: sport suspension, Warranty: 3 years/100000 km, Rear wiper with heated rear windshield, Isofix lock, Isofix points rear, Stability control: DSC, Armrest with drawer/cargo compartment front,, Tyre Pressure Monitoring System,, Keyless Entry System [Keyless], Traffic Sign Recognition System, Remote Central Locking System, Chrome Inlets, Exterior Temperature Gauge, Electrically Adjustable Exterior Rearview Mirrors, Heated Memory, Auto Darkening and Folding, Lane Assist support system, Air conditioning [ACC] 2-zone automatic, rear air intakes,, Airbag on the driver and passenger side, side airbags front, curtain airbag,, Meridian audio system: radio CD/MP3, 11 speakers, subwoofer, AUX-in connector, 380 Watt,, Microfilter [dust and pollen filter],, Reading lights front and rear, Pedals: stainless steel pedals, Cup holder front, Spare wheel: tire repair kit instead of spare wheel, Handsfree radio [Bluetooth],, Alarm system,, Stainless steel Jaguar sash trim Steering wheel, Smart turn: one-touch direction indicator, Start/Stop button: to start and stop the engine,, Power steering: electric, speed-dependent,, Reverse camera, Rear seats: fold down and split, Anti-roll bar [Hill-Holder], Braking system: electric parking brake, Emergency brake assist [EBA], Information system: navigation system, colour driver information system, Steering wheel: 3-spoke sport, leather, multifunction tiptronic, height and distance adjustment, Lighting: fog lamps front, fog lamp rear",11m,255/50 R20,7.0 s,2017—,Non disponibile,All-wheel,204 mm,568 kg,4 cylinders,Soros,"1,998 cm³",4 395 mm,Non disponibile,Off-road vehicle,City SUV (crossover),EURO 6,1 649 mm,365 Nm,"183 kW, 249 hp",6.6 l/100km,Non disponibile,Non disponibile,1.832 kg,Automatic (9-speed tiptronic) transmission,5 persons,"1,988 mm",2 681 mm,"7,7 l/100km","9,5 l/100km",230 km/h,2 400 kg,18 704 000 HUF,Gasoline,68 l
5 doors,Non disponibile,Non disponibile,355 l,Non disponibile,20.0º,Non disponibile,"Windscreen wiper with rain sensor,,, ESP, Active noise reduction, Audio system with 6 speakers, Integrated emergency call system, Power windows front to rear, Electric tailgate movement, Headrests front to rear [5 pcs], Brake system: electric handbrake,, Brake system: emergency brake Assist system,, Tachometer, Warranty: 3 years/100000 km, HANDS FREE ACCESS foot-operated, Boot lid lockable, Rear wiper washer system, Starter lock, Upholstery: fabric, Armrest with front drawer/cargo compartment,, Tire pressure monitoring system,, Keyless-Access system [keyless], Keyless-Go system [keyless], Alloy wheels: 17', Locking system with remote control, Exterior temperature gauge, Electrically adjustable and heated exterior mirrors, Exterior rear-view mirrors glossy black, Air-conditioning [ACC] automatic,, Air conditioning Driver and Passenger Side Bag, Side Airbags Front,,, Hill Descent Control [Hill Descent Control],, Microfilter [Dust and Pollen Filter],, Cup Holder Front, Spare Brake Lamp [Third Brake Light],, Alarm System,, Transmission: Stepless Automatic, Beautician Mirror with illumination on the driver and passenger side,, Power steering,, Tinted windows, Roof rack rail, Ultrasonic parking control system front and rear, USB connector, Seats rear: 1/3-2/3 split, Emergency lights and exterior mirrors in body color, Lighting: LED headlights and LED daytime running light, Finishing: black sunroof, pastel, Information system: On-board computer, Navigation system, Steering wheel: leather, multifunction, height and distance adjustment, Seats: 6-way adjustable driver's seat, adjustable passenger seat",11m,215/65 R17,9.0 s,2023—,Non disponibile,Front wheel,200mm,489 kg,Non disponibile,Non disponibile,Non disponibile,4 084 mm,"32,0º",Small cars,City SUV (crossover),Non disponibile,"1,528mm",260 Nm,"115 kW, 156 hp",Non disponibile,Non disponibile,20.0º,"1,536 kg",Stepless automatic transmission,5 persons,"1,981 mm",2 562 mm,Non disponibile,Non disponibile,150 km/h,2 024 kg,16 890 000 HUF,Gasoline,Non disponibile
5 doors,Non disponibile,303 g/km,1 070 l,Non disponibile,Non disponibile,Non disponibile,"Interior exterior mirrors [2 pcs],, Differential lock,, Transmission: all-wheel drive [4WD], Head restraints [2 pcs], Tachometer,, Catalytic converter,, Mechanical transmission, 5-speed,, Power steering,,, Tinted glazing",Non disponibile,215/75 R15,13.6 seconds,1994-1996,Non disponibile,All-wheel,Non disponibile,640 kg,4 cylinders,Soros,"2,464 cm³",4 288 mm,Non disponibile,Off-road vehicle,City SUV (crossover),Non disponibile,1 630 mm,195 Nm,"90 kW, 122 HP",Non disponibile,Non disponibile,Non disponibile,1 570 kg,Manual (5-speed) transmission,5 persons,1 790 mm,2 576 mm,12.9 l/100km,Non disponibile,150 km/h,2 210 kg,6 420 000 Ft,Gasoline,76 l
5 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Transmission: all-wheel drive [4WD],Non disponibile,215/75 R15,Non disponibile,1988-1991,Non disponibile,All-wheel,Non disponibile,Non disponibile,6 cylinders,Soros,"3,964 cm³",Non disponibile,Non disponibile,Off-road vehicle,City SUV (crossover),Non disponibile,Non disponibile,298 Nm,"126 kW, 171 hp",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (5-speed) transmission,5 persons,Non disponibile,2 576 mm,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
3 doors,Non disponibile,Non disponibile,1 011 l,Non disponibile,Non disponibile,Non disponibile,Transmission: all-wheel drive [4WD],Non disponibile,215/75 R15,10.2 seconds,1988-1991,Non disponibile,All-wheel,Non disponibile,715 kg,6 cylinders,Soros,"3,964 cm³",4 288 mm,Non disponibile,Off-road vehicle,City SUV (crossover),Non disponibile,1 630 mm,298 Nm,"126 kW, 171 hp",Non disponibile,Non disponibile,Non disponibile,1 495 kg,Automatic (4-speed) transmission,5 persons,1 790 mm,2 576 mm,Non disponibile,Non disponibile,170 km/h,2 210 kg,Non disponibile,Gasoline,76 l
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1997-2001,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"1,498 cm³",Non disponibile,Non disponibile,Non disponibile,Hatchback,Non disponibile,Non disponibile,Non disponibile,"55 kW, 75 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1997-2001,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"1,498 cm³",Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"55 kW, 75 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,263 g/km,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"Interior rearview mirror, Mirror-proof, Interior opening cargo cover, Fuel tank cover with interior opening, Head restraints front [2 pcs], Speakers,, Catalytic converter,, Glove compartment: lockable, Exterior rearview mirror: right [adjustable from outside], Radio antenna: mechanical, Transmission: 5-speed manual,, Power steering,, Cigarette lighter front",Non disponibile,185/82 R14,Non disponibile,1996-1999,Non disponibile,Rear wheel,Non disponibile,1 220 kg,4 cylinders,Soros,"2,184 cm³",4 685 mm,Non disponibile,Light commercial vehicle,Glazed in a circle,Non disponibile,"1,945 mm",132 Nm,"48 kW, 65 HP",Non disponibile,Non disponibile,Non disponibile,1 460 kg,Manual (5-speed) transmission,3 persons,1 695 mm,2 400 mm,"10,0 l/100km",Non disponibile,115 km/h,2 680 kg,2 499 875 Ft,Diesel,62 l
